mach,alpha_deg,beta_deg,flap_deg,CL,CD,Cl_roll,Cm,Cn_yaw
11,20,-5,15,0.68907621830882837,0.24530716792957052,1.0858775318515894e-17,0.23560862227209703,0.053122062115726176
11,20,0,-15,1.1253647769341644,0.56453728592181573,1.8615043403170104e-17,1.5655830712895784,1.0858775318515894e-17
11,20,0,-10,1.0337628549156135,0.4544124268507026,1.551253616930842e-17,1.2365022591700585,1.3185655743912157e-17
11,20,0,-5,0.9393123441648612,0.36880706052309381,1.8615043403170104e-17,0.93522504765529391,1.2410028935446736e-17
11,20,0,0,0.84950384426236925,0.30748117448503681,1.3961282552377578e-17,0.67552130513008468,1.2082811375625387e-17
11,20,0,5,0.77133114106480472,0.26828768849553492,1.6288162977773841e-17,0.46794062990573576,1.2022215531214026e-17
11,20,0,10,0.71080794400838621,0.24736692174910058,1.7063789786239262e-17,0.31917836219255924,1.2119168882272203e-17
11,20,0,15,0.67255283806716226,0.23945932595006264,1.7354649839413794e-17,0.23170078921709752,1.2119168882272203e-17
11,20,5,-15,1.1384485417686856,0.56791579557223415,1.8615043403170104e-17,1.559358569803635,-0.053122062115726162
11,20,5,-10,1.0475424392620665,0.45862745853037334,2.1717550637031789e-17,1.2327774961724474,-0.053122062115726162
11,20,5,-5,0.95380938625503831,0.37367236113712921,1.8615043403170104e-17,0.93378882356224568,-0.053122062115726169
11,20,5,0,0.86468308280860651,0.31281231410278965,1.8615043403170104e-17,0.67605782273708481,-0.053122062115726162
11,20,5,5,0.78710418911838287,0.27391654667302051,2.0941923828566367e-17,0.4700539559566862,-0.053122062115726162
11,20,5,10,0.72704073374105038,0.25315469665437912,1.9002856807402815e-17,0.32242170480029098,-0.053122062115726162
11,20,5,15,0.68907621830882837,0.24530716792957052,1.8615043403170104e-17,0.23560862227209722,-0.053122062115726162
11,20,10,-15,1.1737677977070504,0.5766114628314456,3.1025072338616841e-17,1.5397323405778229,-0.11272126427708044
11,20,10,-10,1.0849280116124553,0.46980727457878235,2.7922565104755157e-17,1.2205745291225898,-0.11272126427708044
11,20,10,-5,0.99332553224610887,0.38678322589611397,2.1717550637031789e-17,0.92838193712951778,-0.11272126427708044
11,20,10,0,0.90622508997375006,0.3273065415905253,2.1717550637031789e-17,0.676509220646202,-0.11272126427708044
